post_id,time_of_day,day_of_week,full_datelikes_count
808210,day,friday,2021-10-01 14:03:57,258
808035,morning,friday,2021-10-01 09:57:44,280
807628,morning,thursday,2021-09-30 09:12:45,141
807336,day,wednesday,2021-09-29 16:51:40,485
807035,evening,tuesday,2021-09-28 18:32:40,248
806701,evening,monday,2021-09-27 18:01:53,315
806561,day,monday,2021-09-27 13:59:52,281
806485,morning,monday,2021-09-27 11:08:00,310
806455,morning,monday,2021-09-27 09:26:02,142
806281,day,sunday,2021-09-26 16:46:10,344
806172,day,sunday,2021-09-26 14:09:13,430
806096,day,sunday,2021-09-26 13:07:39,329
805601,day,friday,2021-09-24 13:32:53,516
805536,morning,friday,2021-09-24 10:01:22,166
805057,morning,thursday,2021-09-23 10:01:54,436
804849,day,wednesday,2021-09-22 15:50:04,235
804390,day,tuesday,2021-09-21 16:28:44,469
804362,day,tuesday,2021-09-21 15:59:18,178
803808,day,sunday,2021-09-19 17:10:41,301
803703,morning,sunday,2021-09-19 11:30:00,4094
803437,evening,saturday,2021-09-18 19:41:39,529
803395,evening,saturday,2021-09-18 18:59:58,383
803276,day,saturday,2021-09-18 15:55:11,311
802765,day,friday,2021-09-17 15:46:59,873
802612,day,friday,2021-09-17 12:53:37,707
802448,morning,friday,2021-09-17 09:50:32,133
802232,evening,thursday,2021-09-16 19:40:10,344
802177,evening,thursday,2021-09-16 18:43:19,585
801957,day,thursday,2021-09-16 16:21:01,335
801898,day,thursday,2021-09-16 15:44:38,209
801865,day,thursday,2021-09-16 15:14:01,290
801823,day,thursday,2021-09-16 13:57:33,245
801672,morning,thursday,2021-09-16 09:29:50,4645
801426,evening,wednesday,2021-09-15 19:22:34,292
801365,evening,wednesday,2021-09-15 18:32:22,359
801326,day,wednesday,2021-09-15 17:54:12,216
801269,day,wednesday,2021-09-15 16:20:28,482
800727,evening,tuesday,2021-09-14 19:26:53,214
800616,day,tuesday,2021-09-14 17:40:02,398
800495,day,tuesday,2021-09-14 15:57:00,239
800130,evening,monday,2021-09-13 19:06:17,330
800071,evening,monday,2021-09-13 18:22:20,606
799433,day,sunday,2021-09-12 15:13:55,392
799392,day,sunday,2021-09-12 14:18:36,311
799323,day,sunday,2021-09-12 12:54:33,293
799046,evening,saturday,2021-09-11 20:25:55,341
798987,evening,saturday,2021-09-11 19:13:41,446
798605,morning,saturday,2021-09-11 11:55:16,557
798593,morning,saturday,2021-09-11 11:37:51,257
798476,morning,saturday,2021-09-11 09:01:41,601
798247,evening,friday,2021-09-10 20:08:57,590
798115,day,friday,2021-09-10 15:16:52,188
797952,morning,friday,2021-09-10 09:47:59,423
797817,evening,thursday,2021-09-09 22:42:17,337
797656,evening,thursday,2021-09-09 18:47:55,372
797615,day,thursday,2021-09-09 17:37:42,181
797255,evening,wednesday,2021-09-08 19:41:47,210
797221,evening,wednesday,2021-09-08 19:00:39,303
797167,evening,wednesday,2021-09-08 18:01:43,313
797080,day,wednesday,2021-09-08 15:28:21,502
796762,day,tuesday,2021-09-07 16:22:30,91
796649,day,tuesday,2021-09-07 14:07:40,416
796590,day,tuesday,2021-09-07 12:07:55,593
796418,evening,monday,2021-09-06 18:09:35,564
796385,day,monday,2021-09-06 16:50:36,361
795960,morning,sunday,2021-09-05 11:20:11,487
795699,day,saturday,2021-09-04 15:46:28,420
795600,morning,saturday,2021-09-04 11:31:27,252
795450,evening,friday,2021-09-03 19:47:18,392
795029,evening,thursday,2021-09-02 19:32:44,236
795001,evening,thursday,2021-09-02 18:26:01,379
794983,evening,thursday,2021-09-02 18:00:24,296
794905,day,thursday,2021-09-02 16:41:20,205
794730,morning,thursday,2021-09-02 11:49:30,201
794610,morning,thursday,2021-09-02 09:32:31,390
794439,evening,wednesday,2021-09-01 22:00:02,179
794307,day,wednesday,2021-09-01 17:17:30,163
794236,day,wednesday,2021-09-01 15:08:45,568
794200,day,wednesday,2021-09-01 14:06:02,190
794043,morning,wednesday,2021-09-01 09:16:40,351
793809,day,tuesday,2021-08-31 16:37:29,366
793788,day,tuesday,2021-08-31 16:06:37,140
793687,day,tuesday,2021-08-31 14:19:55,141
793677,day,tuesday,2021-08-31 14:05:16,167
793413,day,monday,2021-08-30 17:32:18,273
793334,day,monday,2021-08-30 15:25:03,219
793284,day,monday,2021-08-30 14:31:55,309
793174,morning,monday,2021-08-30 09:30:47,341
792983,evening,sunday,2021-08-29 21:15:15,754
792788,day,sunday,2021-08-29 16:03:25,236
792655,day,sunday,2021-08-29 12:31:01,158
792205,day,saturday,2021-08-28 17:19:17,188
792095,day,saturday,2021-08-28 14:50:31,225
791841,morning,saturday,2021-08-28 10:25:00,1121
791595,day,friday,2021-08-27 17:34:13,196
791375,morning,friday,2021-08-27 09:32:11,222
791186,day,thursday,2021-08-26 17:44:43,298
791114,day,thursday,2021-08-26 15:44:48,295
790995,morning,thursday,2021-08-26 09:14:47,193
790604,day,wednesday,2021-08-25 15:15:27,262
790549,day,wednesday,2021-08-25 14:29:14,151
790180,morning,wednesday,2021-08-25 08:13:40,727
789941,day,tuesday,2021-08-24 17:26:18,110
789737,day,tuesday,2021-08-24 13:58:40,296
789670,day,tuesday,2021-08-24 12:44:35,181
789609,morning,tuesday,2021-08-24 09:42:38,235
789488,evening,monday,2021-08-23 19:06:25,182
789047,day,sunday,2021-08-22 16:39:03,170
788782,morning,sunday,2021-08-22 09:59:57,315
788564,evening,saturday,2021-08-21 18:12:38,431
788467,day,saturday,2021-08-21 14:51:11,158
788402,day,saturday,2021-08-21 12:11:22,214
788051,day,friday,2021-08-20 14:54:10,295
787995,day,friday,2021-08-20 14:04:07,261
787928,morning,friday,2021-08-20 11:14:32,136
787812,evening,thursday,2021-08-19 21:16:51,238
787577,day,thursday,2021-08-19 12:48:36,198
787492,morning,thursday,2021-08-19 09:29:57,133
786959,day,wednesday,2021-08-18 15:12:00,455
786944,day,wednesday,2021-08-18 15:01:03,399
786715,evening,tuesday,2021-08-17 18:04:49,329
786596,day,tuesday,2021-08-17 14:53:25,185
786458,morning,tuesday,2021-08-17 09:33:17,264
786277,day,monday,2021-08-16 17:40:00,404
786218,day,monday,2021-08-16 15:46:41,304
786088,morning,monday,2021-08-16 11:36:24,218
786065,morning,monday,2021-08-16 09:15:10,122
785858,day,sunday,2021-08-15 15:35:47,205
785447,day,saturday,2021-08-14 14:18:53,184
785368,day,saturday,2021-08-14 12:34:55,208
785040,evening,friday,2021-08-13 18:45:30,289
784966,day,friday,2021-08-13 17:29:33,499
784560,morning,friday,2021-08-13 10:07:40,222
784137,day,thursday,2021-08-12 15:00:09,228
783945,day,thursday,2021-08-12 12:16:38,240
783806,morning,thursday,2021-08-12 09:36:11,243
783418,day,wednesday,2021-08-11 15:05:00,183
783396,day,wednesday,2021-08-11 14:40:53,344
783104,evening,tuesday,2021-08-10 20:08:19,211
783036,evening,tuesday,2021-08-10 18:50:24,120
782464,evening,monday,2021-08-09 19:37:42,200
782413,day,monday,2021-08-09 17:34:59,450
782134,morning,monday,2021-08-09 09:37:39,125
781853,day,sunday,2021-08-08 15:19:47,323
781823,day,sunday,2021-08-08 13:39:15,273
781525,evening,saturday,2021-08-07 19:28:11,303
781466,day,saturday,2021-08-07 17:57:06,322
781212,evening,friday,2021-08-06 19:17:18,255
781188,evening,friday,2021-08-06 18:20:14,269
780723,evening,thursday,2021-08-05 20:26:23,304
780669,evening,thursday,2021-08-05 19:53:31,390
780637,evening,thursday,2021-08-05 19:04:00,228
780455,morning,thursday,2021-08-05 09:48:50,132
780201,day,wednesday,2021-08-04 14:40:28,275
780022,morning,wednesday,2021-08-04 09:36:02,145
779823,evening,tuesday,2021-08-03 20:54:04,169
779808,evening,tuesday,2021-08-03 20:40:32,141
779790,evening,tuesday,2021-08-03 20:22:26,338
779684,day,tuesday,2021-08-03 16:33:39,471
779670,day,tuesday,2021-08-03 16:10:49,145
779361,evening,monday,2021-08-02 21:36:30,208
778788,morning,sunday,2021-08-01 11:05:53,539
778604,evening,saturday,2021-07-31 20:35:42,267
778408,day,saturday,2021-07-31 16:57:19,251
777945,day,friday,2021-07-30 16:29:08,450
777568,morning,friday,2021-07-30 10:20:34,231
777322,evening,thursday,2021-07-29 21:18:44,348
777303,evening,thursday,2021-07-29 20:36:33,245
776903,evening,wednesday,2021-07-28 22:15:58,148
776885,evening,wednesday,2021-07-28 21:54:32,395
776437,evening,tuesday,2021-07-27 18:48:20,280
776427,evening,tuesday,2021-07-27 18:07:00,332
776419,day,tuesday,2021-07-27 17:56:00,103
776404,day,tuesday,2021-07-27 17:42:37,195
776189,evening,monday,2021-07-26 18:15:16,245
776080,morning,monday,2021-07-26 09:23:20,241
775875,day,sunday,2021-07-25 12:51:15,180
775457,day,saturday,2021-07-24 13:09:22,993
775420,morning,saturday,2021-07-24 11:22:08,204
775414,morning,saturday,2021-07-24 10:47:39,249
775211,day,friday,2021-07-23 16:04:08,649
774752,day,wednesday,2021-07-21 17:44:47,296
774494,evening,tuesday,2021-07-20 18:19:21,331
774439,day,tuesday,2021-07-20 17:06:00,244
774416,day,tuesday,2021-07-20 16:36:17,191
774184,day,monday,2021-07-19 13:52:18,274
773892,day,sunday,2021-07-18 15:06:25,182
773779,day,sunday,2021-07-18 12:31:59,263
773309,day,saturday,2021-07-17 12:00:10,240
772670,day,friday,2021-07-16 15:37:33,164
772120,day,thursday,2021-07-15 13:05:15,694
771857,evening,wednesday,2021-07-14 18:28:37,163
771798,day,wednesday,2021-07-14 16:41:56,329
771625,morning,wednesday,2021-07-14 11:46:49,150
771396,evening,tuesday,2021-07-13 19:06:58,191
771296,day,tuesday,2021-07-13 17:41:45,221
771252,day,tuesday,2021-07-13 16:58:18,236
771170,day,tuesday,2021-07-13 15:47:45,171
770750,day,monday,2021-07-12 15:25:05,292
770523,morning,monday,2021-07-12 09:16:52,269
770165,day,sunday,2021-07-11 15:53:06,206
769984,day,sunday,2021-07-11 12:28:04,262
769465,day,saturday,2021-07-10 12:32:29,347
768852,day,friday,2021-07-09 16:17:48,252
768664,day,friday,2021-07-09 13:55:13,164
768486,morning,friday,2021-07-09 11:04:21,1262
768238,evening,thursday,2021-07-08 21:18:57,151
768172,evening,thursday,2021-07-08 20:38:15,523
767746,day,thursday,2021-07-08 12:40:09,179
766863,day,wednesday,2021-07-07 15:31:42,356
765536,day,monday,2021-07-05 15:13:37,406
764339,day,saturday,2021-07-03 16:49:00,287
764236,day,saturday,2021-07-03 14:52:23,141
763719,day,friday,2021-07-02 17:06:54,228
763640,day,friday,2021-07-02 15:38:14,332
763495,day,friday,2021-07-02 14:37:22,163
762873,evening,thursday,2021-07-01 18:30:15,365
762831,day,thursday,2021-07-01 17:56:27,241
762791,day,thursday,2021-07-01 17:22:13,158
762466,morning,thursday,2021-07-01 09:51:48,218
762023,day,wednesday,2021-06-30 17:19:02,296
762011,day,wednesday,2021-06-30 17:03:59,153
761739,morning,wednesday,2021-06-30 09:28:33,189
760247,day,monday,2021-06-28 15:46:13,392
760012,morning,monday,2021-06-28 09:24:56,396
758635,day,friday,2021-06-25 14:26:12,471
757220,day,wednesday,2021-06-23 14:28:22,725
756326,evening,tuesday,2021-06-22 18:59:10,136
756092,day,tuesday,2021-06-22 17:11:00,151
755972,day,tuesday,2021-06-22 16:39:11,486
755741,day,tuesday,2021-06-22 15:55:13,232
755670,day,tuesday,2021-06-22 15:42:28,262
755562,day,tuesday,2021-06-22 14:28:23,671
754478,morning,sunday,2021-06-20 11:05:13,520
753748,morning,saturday,2021-06-19 11:31:17,350
753188,day,friday,2021-06-18 17:56:32,435
752523,morning,friday,2021-06-18 10:46:48,291
750033,day,wednesday,2021-06-16 13:04:05,340
749852,morning,wednesday,2021-06-16 10:46:35,330
748886,day,tuesday,2021-06-15 13:46:07,585
747410,morning,sunday,2021-06-13 11:53:23,264
746554,day,saturday,2021-06-12 15:08:47,580
745749,evening,thursday,2021-06-10 19:51:19,847
745314,morning,thursday,2021-06-10 09:13:51,401
744684,day,tuesday,2021-06-08 16:03:40,561
744188,day,monday,2021-06-07 16:53:31,340
744064,day,monday,2021-06-07 14:05:08,228
743958,day,monday,2021-06-07 12:10:02,405
743436,day,sunday,2021-06-06 16:36:08,628
742579,day,friday,2021-06-04 14:18:18,448
742564,day,friday,2021-06-04 13:52:02,369
742557,day,friday,2021-06-04 13:41:20,542
742463,morning,friday,2021-06-04 09:27:58,228
742343,evening,thursday,2021-06-03 21:43:06,210
742323,evening,thursday,2021-06-03 21:09:26,378
741793,evening,wednesday,2021-06-02 18:25:30,530
741707,day,wednesday,2021-06-02 17:20:12,300
741639,day,wednesday,2021-06-02 16:19:51,399
741437,morning,wednesday,2021-06-02 09:16:56,119
741311,evening,tuesday,2021-06-01 19:22:03,175
741196,day,tuesday,2021-06-01 15:48:06,348
740806,day,monday,2021-05-31 15:58:31,417
740724,day,monday,2021-05-31 13:22:58,378
740687,day,monday,2021-05-31 12:40:57,191
740308,day,sunday,2021-05-30 13:57:40,381
740003,evening,saturday,2021-05-29 20:07:56,211
739811,day,saturday,2021-05-29 16:19:25,671
739510,evening,friday,2021-05-28 18:09:54,171
739473,day,friday,2021-05-28 17:29:33,103
739422,day,friday,2021-05-28 16:21:46,324
739186,morning,friday,2021-05-28 09:33:10,120
739007,evening,thursday,2021-05-27 20:27:22,342
738976,evening,thursday,2021-05-27 19:56:04,201
738948,evening,thursday,2021-05-27 19:19:41,105
738378,morning,wednesday,2021-05-26 09:34:25,300
737818,evening,monday,2021-05-24 20:05:26,450
737768,evening,monday,2021-05-24 19:41:02,741
737731,evening,monday,2021-05-24 18:57:55,341
737413,morning,monday,2021-05-24 10:02:11,219
736899,day,sunday,2021-05-23 14:20:24,626
736837,day,sunday,2021-05-23 12:30:22,384
736737,morning,sunday,2021-05-23 10:07:33,395
736593,evening,saturday,2021-05-22 18:13:22,509
736506,day,saturday,2021-05-22 13:28:24,2093
736179,evening,friday,2021-05-21 19:14:22,179
735762,morning,friday,2021-05-21 09:38:34,138
735575,evening,thursday,2021-05-20 21:22:57,225
735400,evening,thursday,2021-05-20 18:42:49,312
735224,day,thursday,2021-05-20 13:06:59,338
734902,evening,wednesday,2021-05-19 18:07:20,482
734748,day,wednesday,2021-05-19 15:42:46,483
734509,morning,wednesday,2021-05-19 09:24:35,218
734325,evening,tuesday,2021-05-18 19:21:00,189
734139,day,tuesday,2021-05-18 17:04:47,235
733971,day,tuesday,2021-05-18 15:18:14,231
733670,evening,monday,2021-05-17 21:10:00,535
733542,day,monday,2021-05-17 16:39:47,388
733228,morning,monday,2021-05-17 10:27:11,501
732962,day,sunday,2021-05-16 16:31:44,1161
732898,day,sunday,2021-05-16 14:20:31,1712
732673,evening,saturday,2021-05-15 20:01:46,636
732649,evening,saturday,2021-05-15 19:23:01,550
732252,day,friday,2021-05-14 16:45:47,471
732142,day,friday,2021-05-14 14:19:10,572
731846,day,thursday,2021-05-13 17:55:39,395
731561,morning,thursday,2021-05-13 11:53:41,499
731462,morning,thursday,2021-05-13 09:56:26,368
731253,evening,wednesday,2021-05-12 20:34:22,369
731049,day,wednesday,2021-05-12 13:02:36,310
730729,day,tuesday,2021-05-11 16:10:33,299
730620,day,tuesday,2021-05-11 14:41:33,215
730282,day,monday,2021-05-10 15:30:26,491
730076,day,sunday,2021-05-09 16:37:32,636
729906,morning,sunday,2021-05-09 09:01:26,1008
729694,day,saturday,2021-05-08 13:47:21,379
729680,morning,saturday,2021-05-08 11:44:00,271
729483,day,friday,2021-05-07 17:53:00,131
729429,day,friday,2021-05-07 17:07:37,293
729322,day,friday,2021-05-07 15:06:35,539
729225,morning,friday,2021-05-07 11:10:44,248
728967,day,thursday,2021-05-06 14:12:40,1281
728883,day,thursday,2021-05-06 12:05:51,470
728853,morning,thursday,2021-05-06 09:39:43,292
728764,day,wednesday,2021-05-05 17:06:43,89
728738,day,wednesday,2021-05-05 15:36:31,205
728710,day,wednesday,2021-05-05 14:26:00,435
728703,day,wednesday,2021-05-05 14:07:39,381
728679,day,wednesday,2021-05-05 12:40:35,259
728643,morning,wednesday,2021-05-05 10:32:40,223
728125,day,monday,2021-05-03 16:17:01,779
727996,day,monday,2021-05-03 13:46:09,438
727755,morning,sunday,2021-05-02 10:26:38,270
727676,night,sunday,2021-05-02 01:43:44,988
727546,day,saturday,2021-05-01 16:38:06,1051
727484,day,saturday,2021-05-01 12:49:39,620
727323,evening,friday,2021-04-30 20:40:33,399
727250,evening,friday,2021-04-30 18:29:01,122
727084,day,friday,2021-04-30 14:39:16,717
727020,day,friday,2021-04-30 13:25:33,305
726833,evening,thursday,2021-04-29 18:24:40,280
726420,evening,wednesday,2021-04-28 18:01:27,246
726392,day,wednesday,2021-04-28 17:17:35,386
726347,day,wednesday,2021-04-28 16:23:11,437
725865,evening,tuesday,2021-04-27 18:26:03,171
725770,day,tuesday,2021-04-27 15:03:24,539
725730,day,tuesday,2021-04-27 14:10:53,425
725515,day,monday,2021-04-26 16:40:21,526
725446,day,monday,2021-04-26 13:37:08,373
725083,day,sunday,2021-04-25 15:19:52,400
724991,day,sunday,2021-04-25 13:10:42,873
724742,day,saturday,2021-04-24 12:52:22,350
724704,morning,saturday,2021-04-24 11:58:29,258
724182,evening,thursday,2021-04-22 19:11:13,414
724128,day,thursday,2021-04-22 17:46:44,133
723990,day,thursday,2021-04-22 14:44:57,530
723589,day,wednesday,2021-04-21 16:35:55,263
723114,day,tuesday,2021-04-20 17:51:16,251
723075,day,tuesday,2021-04-20 17:24:43,165
723022,day,tuesday,2021-04-20 15:53:39,344
722908,day,tuesday,2021-04-20 13:37:30,135
722775,morning,tuesday,2021-04-20 10:03:47,333
722573,evening,monday,2021-04-19 20:35:36,461
722191,morning,monday,2021-04-19 09:28:44,400
721861,day,sunday,2021-04-18 17:30:55,883
721698,day,sunday,2021-04-18 14:15:25,229
721610,morning,sunday,2021-04-18 11:48:00,208
721247,day,saturday,2021-04-17 16:37:33,290
721198,day,saturday,2021-04-17 14:24:40,128
720273,day,thursday,2021-04-15 17:20:27,190
720063,morning,thursday,2021-04-15 11:16:10,113
719916,morning,thursday,2021-04-15 09:38:16,300
719293,day,tuesday,2021-04-13 15:59:00,233
719118,day,tuesday,2021-04-13 12:56:04,1379
719036,morning,tuesday,2021-04-13 11:35:54,578
718837,evening,monday,2021-04-12 19:25:13,225
718724,day,monday,2021-04-12 16:59:28,310
718647,day,monday,2021-04-12 15:18:00,474
718102,day,sunday,2021-04-11 15:12:16,286
718037,day,sunday,2021-04-11 14:03:29,265
717810,evening,saturday,2021-04-10 20:34:49,465
717707,day,saturday,2021-04-10 14:37:00,431
717284,day,friday,2021-04-09 15:04:07,319
717125,morning,friday,2021-04-09 09:19:52,130
716445,evening,wednesday,2021-04-07 18:10:00,561
716306,day,wednesday,2021-04-07 15:19:37,571
716046,morning,wednesday,2021-04-07 10:18:00,153
715728,evening,tuesday,2021-04-06 18:48:55,155
715621,day,tuesday,2021-04-06 17:38:15,372
715369,day,tuesday,2021-04-06 12:11:49,202
714954,day,monday,2021-04-05 13:33:53,326
714844,morning,monday,2021-04-05 09:40:33,245
714585,day,sunday,2021-04-04 15:34:54,177
714497,day,sunday,2021-04-04 13:34:56,60
714452,day,sunday,2021-04-04 12:37:16,235
714188,day,saturday,2021-04-03 16:58:33,493
714139,day,saturday,2021-04-03 15:18:33,195
713875,evening,friday,2021-04-02 18:53:41,115
713778,day,friday,2021-04-02 17:05:44,309
713180,day,thursday,2021-04-01 13:35:30,495
712738,day,wednesday,2021-03-31 16:45:01,465
712176,day,tuesday,2021-03-30 16:10:31,245
712156,day,tuesday,2021-03-30 15:15:20,276
711947,evening,monday,2021-03-29 20:23:13,255
711684,morning,monday,2021-03-29 09:05:52,155
711504,day,sunday,2021-03-28 16:14:40,242
711447,day,sunday,2021-03-28 12:45:17,270
711416,morning,sunday,2021-03-28 11:17:46,219
711324,evening,saturday,2021-03-27 23:15:54,544
711199,day,saturday,2021-03-27 13:15:34,332
710940,day,friday,2021-03-26 16:52:32,185
710870,day,friday,2021-03-26 15:06:54,343
710525,day,thursday,2021-03-25 17:35:15,216
710451,day,thursday,2021-03-25 16:20:16,210
709926,morning,wednesday,2021-03-24 09:35:24,292
709621,day,tuesday,2021-03-23 17:57:00,168
709590,day,tuesday,2021-03-23 17:41:00,203
709411,day,tuesday,2021-03-23 15:03:38,441
708998,evening,monday,2021-03-22 18:16:33,250
708844,day,monday,2021-03-22 15:32:24,325
708624,morning,monday,2021-03-22 09:08:00,365
708412,morning,sunday,2021-03-21 10:01:44,317
708224,day,saturday,2021-03-20 14:32:31,283
708167,day,saturday,2021-03-20 12:31:28,212
707799,day,friday,2021-03-19 16:37:58,252
707653,morning,friday,2021-03-19 10:07:00,392
707236,day,wednesday,2021-03-17 17:40:17,499
707191,day,wednesday,2021-03-17 16:21:26,310
707145,day,wednesday,2021-03-17 15:25:33,294
706848,evening,tuesday,2021-03-16 18:57:21,348
706774,day,tuesday,2021-03-16 17:42:49,205
706584,day,tuesday,2021-03-16 14:47:31,326
706292,day,monday,2021-03-15 17:12:25,215
706245,day,monday,2021-03-15 15:38:34,415
705775,morning,friday,2021-03-12 10:02:41,236
705635,evening,thursday,2021-03-11 18:35:32,205
705564,day,thursday,2021-03-11 16:53:56,405
705215,day,wednesday,2021-03-10 16:34:20,282
705028,morning,wednesday,2021-03-10 11:09:03,1347
704665,day,tuesday,2021-03-09 16:07:49,155
704651,day,tuesday,2021-03-09 15:07:38,330
704324,day,monday,2021-03-08 14:49:43,610
704251,morning,monday,2021-03-08 10:00:15,480
704054,day,sunday,2021-03-07 17:39:53,517
703920,day,sunday,2021-03-07 14:02:23,270
703829,day,sunday,2021-03-07 12:27:38,282
703591,day,saturday,2021-03-06 17:17:10,165
702906,day,friday,2021-03-05 17:17:22,470
702791,day,friday,2021-03-05 16:13:21,319
702658,day,friday,2021-03-05 13:04:19,200
702620,day,friday,2021-03-05 12:00:12,307
702323,day,thursday,2021-03-04 17:44:19,491
702025,morning,thursday,2021-03-04 11:35:47,263
701626,day,wednesday,2021-03-03 14:59:22,253
701379,morning,wednesday,2021-03-03 09:12:58,178
701164,evening,tuesday,2021-03-02 18:31:16,171
701119,day,tuesday,2021-03-02 17:33:35,339
700749,day,monday,2021-03-01 17:40:04,310
700687,day,monday,2021-03-01 16:18:56,203
700498,morning,monday,2021-03-01 09:13:56,325
700214,day,sunday,2021-02-28 13:50:59,262
698938,evening,friday,2021-02-26 20:43:27,1315
698833,evening,friday,2021-02-26 19:24:59,236
698771,evening,friday,2021-02-26 18:09:59,240
698257,day,thursday,2021-02-25 17:52:28,211
698165,day,thursday,2021-02-25 15:55:32,290
697888,evening,wednesday,2021-02-24 19:51:39,320
697847,evening,wednesday,2021-02-24 18:47:44,276
697476,day,tuesday,2021-02-23 17:19:00,225
697343,day,tuesday,2021-02-23 12:47:51,473
697271,morning,tuesday,2021-02-23 10:48:49,821
696870,day,monday,2021-02-22 12:55:54,383
696527,day,sunday,2021-02-21 14:31:38,262
696485,day,sunday,2021-02-21 12:36:08,316
696270,day,saturday,2021-02-20 17:34:59,344
695973,day,saturday,2021-02-20 12:21:41,173
695394,morning,friday,2021-02-19 10:20:50,323
695238,evening,thursday,2021-02-18 18:49:16,211
695139,day,thursday,2021-02-18 17:36:03,267
694884,morning,thursday,2021-02-18 11:53:45,259
694643,day,wednesday,2021-02-17 16:56:39,272
694212,evening,tuesday,2021-02-16 18:08:03,271
694176,day,tuesday,2021-02-16 17:26:09,369
694098,day,tuesday,2021-02-16 15:10:18,203
693795,evening,monday,2021-02-15 19:37:21,276
693752,evening,monday,2021-02-15 18:19:25,221
693611,day,monday,2021-02-15 12:37:11,139
692859,day,saturday,2021-02-13 12:25:40,1156
692558,evening,friday,2021-02-12 22:33:38,332
692499,evening,friday,2021-02-12 21:59:21,540
692482,evening,friday,2021-02-12 21:47:00,1264
691976,evening,thursday,2021-02-11 18:21:43,420
691921,day,thursday,2021-02-11 17:48:25,566
691766,morning,thursday,2021-02-11 10:05:43,338
691451,day,wednesday,2021-02-10 15:45:53,245
691074,evening,tuesday,2021-02-09 18:56:40,202
690995,day,tuesday,2021-02-09 16:51:53,500
690947,day,tuesday,2021-02-09 14:25:58,156
690641,evening,monday,2021-02-08 18:02:35,351
690082,day,sunday,2021-02-07 12:49:00,513
689047,day,saturday,2021-02-06 16:06:33,743
688973,day,saturday,2021-02-06 14:58:43,222
688870,day,saturday,2021-02-06 12:58:28,443
688476,day,friday,2021-02-05 17:14:32,481
688180,morning,friday,2021-02-05 09:28:39,235
687873,day,thursday,2021-02-04 17:46:00,541
687821,day,thursday,2021-02-04 16:18:10,528
687400,day,wednesday,2021-02-03 17:51:58,231
686977,morning,tuesday,2021-02-02 10:30:55,255
686703,day,monday,2021-02-01 17:42:15,410
686388,morning,monday,2021-02-01 08:50:48,521
685851,day,saturday,2021-01-30 12:43:52,367
685481,day,friday,2021-01-29 17:17:05,221
685422,day,friday,2021-01-29 15:13:20,488
684928,day,thursday,2021-01-28 16:20:13,394
684858,day,thursday,2021-01-28 15:04:43,206
684772,day,thursday,2021-01-28 13:47:33,560
684376,day,wednesday,2021-01-27 15:18:29,368
684263,day,wednesday,2021-01-27 13:27:29,426
684006,morning,wednesday,2021-01-27 09:13:41,345
683848,evening,tuesday,2021-01-26 20:07:00,373
683779,evening,tuesday,2021-01-26 18:56:48,819
683739,evening,tuesday,2021-01-26 18:17:56,180
683119,day,monday,2021-01-25 16:25:54,293
682999,day,monday,2021-01-25 15:04:16,446
681772,morning,friday,2021-01-22 11:44:22,322
681194,evening,thursday,2021-01-21 19:30:39,470
681107,evening,thursday,2021-01-21 18:41:30,446
680445,morning,thursday,2021-01-21 09:18:18,366
679871,evening,wednesday,2021-01-20 18:41:44,335
679144,day,tuesday,2021-01-19 16:36:47,178
679119,day,tuesday,2021-01-19 16:04:00,227
678905,day,tuesday,2021-01-19 12:18:58,1634
678381,day,monday,2021-01-18 13:38:17,537
677777,day,sunday,2021-01-17 16:26:15,458
677737,day,sunday,2021-01-17 15:50:27,624
677548,day,sunday,2021-01-17 13:13:32,409
676727,day,saturday,2021-01-16 14:27:45,567
676508,morning,saturday,2021-01-16 09:26:23,164
676266,evening,friday,2021-01-15 19:30:16,417
675980,day,friday,2021-01-15 14:35:00,180
675125,day,thursday,2021-01-14 12:02:50,541
674835,morning,thursday,2021-01-14 09:18:57,962
674400,day,wednesday,2021-01-13 16:50:26,410
674280,day,wednesday,2021-01-13 15:02:46,521
673180,day,monday,2021-01-11 17:04:51,820
673149,day,monday,2021-01-11 16:42:32,495
673073,day,monday,2021-01-11 16:02:24,194
672258,day,sunday,2021-01-10 15:10:00,509
672156,day,sunday,2021-01-10 13:12:00,629
671659,day,saturday,2021-01-09 17:54:16,478
671208,day,friday,2021-01-08 17:08:38,384
671114,day,friday,2021-01-08 15:11:08,538
670491,day,thursday,2021-01-07 13:12:53,287
670345,morning,thursday,2021-01-07 09:01:20,1247
669999,day,wednesday,2021-01-06 17:28:26,478
669873,day,wednesday,2021-01-06 15:25:10,659
669720,day,wednesday,2021-01-06 13:34:00,594
669215,evening,tuesday,2021-01-05 21:03:19,247
668841,day,tuesday,2021-01-05 14:28:09,442
668016,day,monday,2021-01-04 15:29:17,503
667293,day,sunday,2021-01-03 15:33:29,1128
666998,morning,sunday,2021-01-03 10:13:40,368
666510,day,saturday,2021-01-02 15:54:02,658
666464,day,saturday,2021-01-02 14:21:00,557
666046,evening,friday,2021-01-01 20:32:12,349
665954,day,friday,2021-01-01 15:41:00,375
665858,day,friday,2021-01-01 13:25:33,606
665665,evening,thursday,2020-12-31 23:30:35,876
665293,day,thursday,2020-12-31 13:12:04,638
664788,day,wednesday,2020-12-30 17:03:32,529
664636,day,wednesday,2020-12-30 14:34:30,486
